"","ID","Race","Age","Sex","math","per_comp","val"
"1","001","White",24,"Male",70.2354027365843,2.2275173791763,0.971257142224225
"2","002","White",26,"Female",69.0330776739241,0.464016649790797,-1.19534495264318
"3","003","White",20,"Male",70.7092637902489,0.0670495302274273,0.787259568216649
"4","004","White",20,"Male",70.9127265492835,-1.27060821635732,-0.594651167084947
"5","005","White",32,"Male",70.8719162774157,0.745218340777708,-2.62225693838478
"6","006","White",31,"Female",67.1873060189483,-2.10868124750035,1.40114647647105
"7","007","Hispanic",20,"Female",69.5380372484291,-0.324448888435677,-1.58349337843218
"8","008","White",21,"Female",70.0007167071186,1.00699896764361,-0.808620998810885
"9","009","White",34,"Male",72.0256754971184,-0.0335869416152436,-0.669119918006331
"10","010","White",22,"Female",71.0237755302962,-1.360082511279,-0.728055081881439
"11","011","White",24,"Female",70.1065963535267,0.46711451477691,-0.09722707271675
"12","012","Asian",31,"Female",67.8603088117829,-0.192064340684144,-0.852058876604514
"13","013","Asian",27,"Female",69.447279003106,-1.50979612854922,0.115642183292919
"14","014","Hispanic",29,"Female",69.6144305316717,0.337480844978097,1.36379916866053
"15","015","Black",20,"Female",70.8506249676516,0.716651960453421,-0.856280565027264
"16","016","White",30,"Female",70.026059241691,-0.13862423154677,0.571604919009032
"17","017","White",24,"Female",68.0582843106251,0.545935313668902,0.300806054185042
"18","018","Asian",22,"Female",70.4692155719056,-1.26424454115403,-1.03460078344469
"19","019","White",30,"Male",70.4250890491659,0.368781188803896,0.0722821231925345
"20","020","White",33,"Male",68.4697186696497,-0.757578950329363,-0.401855554772774
"21","021","White",33,"Female",71.0674027314233,-0.391967410813974,-2.00092892686078
"22","022","White",26,"Female",68.2014716749781,-0.218243022907391,-2.43911582636618
"23","023","White",33,"Male",70.4642186608117,0.528681907888895,-0.581170441129081
"24","024","Hawaiian",28,"Male",70.4556413207994,2.15409468029846,1.71457136157774
"25","025","Hispanic",21,"Female",70.5371933275218,-2.19928815981234,1.61667936836521
"26","026","Black",26,"Male",68.6500261176646,0.519217508752486,-0.762852541741729
"27","027","White",34,"Female",71.14329916447,0.424130822195991,-1.2646635015369
"28","028","Hispanic",35,"Male",71.6657258795938,1.69794070771695,-0.171778329958987
"29","029","White",29,"Female",69.2480775869718,-1.56206473004665,1.24842712353718
"30","030","White",35,"Male",71.3722883492636,0.131733998022373,0.0740599461621713
"31","031","White",23,"Male",71.6931484808879,-0.931064338593665,-0.413574274278366
"32","032","White",21,"Female",71.523181947326,0.246398874886006,1.33974690102427
"33","033","Black",35,"Male",70.2389029600954,0.210388887495666,2.56679249906189
"34","034","Hispanic",27,"Female",70.69810078305,0.4350997730199,0.651197504459534
"35","035","White",20,"Male",68.4421334365809,-1.58890315424474,0.00395544609107271
"36","036","White",22,"Female",70.8216542199166,-0.296029605009286,-0.507838191701408
"37","037","Hispanic",32,"Female",68.7567092794026,-0.367588758092127,2.30595835292963
"38","038","White",35,"Female",69.9786140377061,-1.00266681891117,1.18974623619574
"39","039","Black",29,"Female",70.2399148205995,1.49632053787732,0.839544601070767
"40","040","White",23,"Female",70.1012464375079,-0.841694901880385,2.30774008857587
"41","041","White",34,"Male",70.1359742332058,0.919248155805362,-0.587724544157548
"42","042","White",32,"Male",70.0300710390903,-2.0231313709466,0.766719268285342
"43","043","White",21,"Female",70.6466196993652,0.197347550720916,1.37801877955881
"44","044","Black",24,"Male",68.904287294651,-0.669625178824575,0.338949069786293
"45","045","White",31,"Male",69.4389927789904,-0.750235816185275,0.682823197346548
"46","046","White",33,"Female",69.7658537540323,-1.18880873649555,-0.890575355944689
"47","047","White",29,"Male",69.1966631103492,2.29525709258224,-0.0714635752385886
"48","048","White",21,"Female",70.2626468061503,0.928341067062283,0.297157433827491
"49","049","White",27,"Female",70.3199042288028,-1.59440267721345,-1.07294480607009
"50","050","White",25,"Male",70.4170342888859,-1.35654738018311,-0.325038171660069
"51","051","White",22,"Female",69.2525150325433,-0.391826724251695,2.03967008413913
"52","052","Hispanic",30,"Female",69.94392454137,0.443969766734594,-0.62214595020472
"53","053","White",28,"Male",69.9810053619492,0.0154363222271549,-0.311974780409113
"54","054","White",28,"Male",71.7161839887771,-0.187199271953941,1.44145075945102
"55","055","White",23,"Female",69.201448351492,-0.554359462463456,0.338296570997582
"56","056","White",29,"Female",69.4287349321224,0.569559376233225,0.670836386807427
"57","057","White",28,"Male",70.6071754218008,1.30819161118252,-0.527476278582944
"58","058","Asian",32,"Male",71.2928685138589,1.0837229409069,1.25105613215752
"59","059","Black",23,"Male",71.0699572558602,0.710262590685166,-0.183753002775815
"60","060","White",26,"Female",70.9847790959238,-0.634945132771283,-1.56004867198872
"61","061","Hispanic",25,"Female",70.4955160759829,2.35546615031418,0.0806738089563437
"62","062","Bi-Racial",26,"Male",71.1550951137368,0.467881524498673,0.25543525423002
"63","063","White",33,"Male",72.4967089758439,-0.830130512739105,1.22067441746364
"64","064","White",24,"Male",68.7961311535467,-1.53232338070316,-0.0504986562800509
"65","065","White",20,"Male",70.5629463909,2.18511115207874,-1.3513234329698
"66","066","White",34,"Female",70.8421676411626,0.591380328587452,-1.32375768740953
"67","067","White",21,"Male",70.5847231110404,0.0095468919279575,0.620432131163509
"68","068","White",31,"Female",69.6929305453269,-0.768077663415454,-1.30614212134012
"69","069","Hispanic",20,"Male",70.255033397683,-0.0366443170721212,1.02423333589206
"70","070","White",20,"Male",69.246580017911,-0.329443526085275,0.254834306584513
"71","071","Bi-Racial",32,"Male",69.6767013248013,0.0151072800030479,2.277032487985
"72","072","Black",20,"Female",70.5523031630007,0.606598798150719,-0.803866533905528
"73","073","White",30,"Male",70.3082552243887,-1.1958925230103,-1.25980390025682
"74","074","White",34,"Male",71.2326049411355,0.869199886718837,0.3914773467741
"75","075","White",25,"Female",69.9010664471236,0.852645222472193,0.45495608355485
"76","076","White",21,"Female",68.5569225114901,1.59376019251911,0.537034623897559
"77","077","White",35,"Male",69.1735210002446,0.264008072068038,-0.0407201631686054
"78","078","Black",28,"Male",69.5855371176667,0.894697652653305,-0.704362075012264
"79","079","Other",23,"Male",69.1578527651786,0.552761019198456,-0.0610192548514484
"80","080","White",20,"Female",70.9566606084906,2.13449068049209,-0.302106190455959
"81","081","Hispanic",30,"Female",71.1625576877652,-0.133673162208995,-1.64615838864172
"82","082","White",24,"Female",67.9539129326559,-0.582702597661887,-1.29390816548203
"83","083","Asian",24,"Male",70.9563338470031,0.440822992588601,-0.00268818354844832
"84","084","Black",24,"Female",69.9031115611992,-1.0737581453526,-0.34401973679267
"85","085","White",24,"Female",70.1691236544566,-0.416844443828297,1.23263128578767
"86","086","Hispanic",35,"Female",69.5846173464034,0.966202218449211,0.53680268790452
"87","087","White",31,"Female",70.2652612163512,1.26023739337762,-0.762558786666872
"88","088","White",33,"Male",68.8758539770415,0.201309231399485,0.519525430722948
"89","089","Hispanic",28,"Female",70.4174510229933,-1.00093772166503,0.0234028785814057
"90","090","Black",35,"Female",70.7318181702726,-0.518559196759639,0.0696402428553104
"91","091","White",23,"Male",68.7474190723756,0.408077448636362,0.0111107942615864
"92","092","Hispanic",27,"Female",71.1324586442021,-0.41696417038497,0.125868393982078
"93","093","White",20,"Male",70.1961651838683,0.492410910297153,-0.924542326674527
"94","094","White",35,"Female",70.3853803157339,-2.2958620822773,0.586089653673777
"95","095","White",26,"Female",70.8764550713123,-0.151120305964458,-2.0736805654043
"96","096","White",28,"Male",70.4563144059843,-1.03481768006105,0.205548997310314
"97","097","White",28,"Male",67.3267868377746,2.05536822855562,1.29770988690918
"98","098","White",27,"Male",69.9119179526238,-1.41388928722822,-1.28605633031987
"99","099","Bi-Racial",22,"Male",71.3602938967535,0.287079926012228,0.640124778529413
"100","100","White",24,"Male",70.1097250508835,-0.380705658052062,1.29885101381205
"101","101","Hispanic",20,"Female",69.3160923946885,1.58893732001132,-0.130400927122158
"102","102","White",21,"Male",69.2509631727756,1.57528559894698,-0.330450818071737
"103","103","Hispanic",28,"Male",70.4963734435207,3.35351028743136,1.46475600580776
"104","104","White",32,"Male",70.0428146347565,-1.42708214259046,0.606826271175307
"105","105","White",34,"Male",70.6605211850104,0.36189060031858,-1.31764422424698
"106","106","White",28,"Female",72.0471310308967,-0.198280687043411,0.485808921787574
"107","107","Black",25,"Male",69.1297131309955,-0.849809562331114,0.064120017978891
"108","108","Asian",28,"Female",69.6551893500086,0.708190920686913,0.623537740003144
"109","109","Hispanic",31,"Male",69.5724241290394,1.7065937884745,-0.580864263682036
"110","110","White",20,"Male",70.5063598327983,-0.508687779735505,-0.811981934954428
"111","111","Hispanic",26,"Female",69.3898936236725,-0.284387752560881,-0.979988932626327
"112","112","White",21,"Female",69.8167610885494,0.90555811557604,1.89839040907904
"113","113","White",32,"Male",69.3073703648997,-0.0904465291177718,0.298211723819198
"114","114","Asian",20,"Male",70.2057801779719,0.730948171078894,-1.30641844877814
"115","115","White",25,"Female",70.1895302542233,-0.470835416939448,1.41538575150039
"116","116","Black",34,"Male",69.9233767003379,-1.61289210302727,1.9090969333574
"117","117","Hispanic",25,"Female",70.580297613118,0.705671411549666,-0.129041346558961
"118","118","White",29,"Female",68.5559864953999,0.539714365840836,0.931929939660614
"119","119","Native",24,"Female",67.9480735734303,-0.568626164282096,0.0820656328875183
"120","120","Black",27,"Male",71.3095511712126,1.18161748473326,0.217442493690632
"121","121","White",27,"Male",69.8975652198487,-2.12812874000499,0.412123849792283
"122","122","Hispanic",27,"Male",70.779252097791,-0.0986614655445277,0.79637566598869
"123","123","White",29,"Female",69.5827439296698,-1.4093675287484,0.522792624517082
"124","124","White",27,"Male",70.1039285738999,0.825614016455365,0.262957274093815
"125","125","White",22,"Male",68.9028017766043,1.41823987020118,0.844263030950332
"126","126","Black",20,"Male",70.2872069370929,0.303432589518369,0.597978487483661
"127","127","Bi-Racial",26,"Male",70.0255584411809,-0.358148744715713,0.208230560265007
"128","128","White",28,"Male",69.8377926255952,1.70549213140435,-0.358463270029833
"129","129","White",21,"Female",70.8203573455726,0.75586927688052,-0.643034228012767
"130","130","White",25,"Female",69.7359614946521,1.09067876347644,2.09874954800111
"131","131","White",22,"Male",69.2018596863357,0.74587234568151,1.36246558497553
"132","132","White",21,"Female",70.516857264507,0.387331477052697,1.47520051973738
"133","133","White",33,"Male",68.5159463677048,0.631749712067848,-1.20823723775954
"134","134","Asian",34,"Female",69.8775964180965,0.368797364234385,-1.20461493349907
"135","135","White",32,"Male",70.9255412313963,-0.557485083146101,-1.75604108161455
"136","136","Black",34,"Male",70.8155222829293,0.319001347513309,-0.803386603323904
"137","137","White",20,"Female",69.7829504507271,1.5022046959303,1.39200995000343
"138","138","Hispanic",24,"Male",70.2416461895928,-1.33330730183539,-0.365449510777757
"139","139","White",26,"Female",70.9070267131126,-0.31828290850401,0.695626208501411
"140","140","White",27,"Male",70.5821315647423,1.40932486321854,-0.200308116846086
"141","141","White",31,"Female",70.1577281208796,0.225110436746933,0.252990662246821
"142","142","Hispanic",27,"Female",70.3310113155246,-0.228805852092881,1.30580690339262
"143","143","White",35,"Female",68.8338958621609,-0.591951453552539,0.888649026852547
"144","144","White",34,"Male",71.0528646142492,-1.22181773367717,0.996907283060166
"145","145","Hispanic",23,"Male",70.7200319307056,-0.752101642978844,0.481412117167063
"146","146","White",32,"Female",71.9990319967163,0.666519356421242,-0.639809973466559
"147","147","White",31,"Female",70.9480756045417,0.942483529633545,-0.287892466887101
"148","148","White",28,"Female",70.0421096812404,-1.4705134889043,-1.1839129627709
"149","149","Black",26,"Female",68.5042016319734,1.23498301853394,-1.45940722283209
"150","150","Asian",25,"Male",67.5343613790849,0.0736503975566173,-0.0581352013732161
